"","sec_pc1","rot2_pc1","sec_pc2","rot2_pc2"
"Q1",0.816984615032239,0.783095070181935,-0.139412347030467,0.271407027839495
"Q2",0.672608363334709,0.596041967065783,-0.0137552566850913,0.311969855932621
"Q3",0.765521535202766,0.686587791596027,-0.0326965122493912,0.340131573370902
"Q4",0.623373254503666,0.236472239120659,0.643078262050602,0.863843009856407
"Q5",0.690084109686061,0.619791210468377,-0.0312646645727868,0.305044936227756
"Q6",0.682802863181316,0.648749366540034,-0.104620942131413,0.237254190510877
"Q7",0.656624864984585,0.728425622365311,-0.317631963239943,0.0379788107948873
"Q8",0.786105436971894,0.668467932393649,0.0423598314354431,0.415820558314968
"Q9",0.723029522150503,0.745193918896946,-0.231646182865665,0.145319190668092
"Q10",0.686152908931024,0.64882323522997,-0.0986803775028613,0.24407384285156
"Q11",0.752973494236014,0.785578423511801,-0.261006729298692,0.134015432969142
"Q12",0.630350528465897,0.24525874791007,0.637531242993483,0.862343331338299
"Q13",0.71190848047,0.654993708006318,-0.0646383654088459,0.286312845188556
"Q14",0.811467690609601,0.759129486522708,-0.099700163356344,0.303549597542693
"Q15",0.704042817788738,0.611865377873021,0.0105793645652647,0.348437902064079
"Q16",0.757561579972165,0.7615660576435,-0.202815914917401,0.187219076589546
"Q17",0.617533600929521,0.221150496197615,0.664260505194271,0.879592078789638
"Q18",0.80672839840296,0.761674602232516,-0.113604323386806,0.289082084183573
